order id,order date,customer segment,gender,product category,product subcategory,units sold,product name,unit price,discount %,shipping mode,city,state,country,payment mode,customer id,status
1,2023-03-23,Corporate,Female,Photography,Smartphone Accessories,10,Smartphone Tripod with Bluetooth Remote,29.99,4.08,Standard,Las Carreras,,Bolivia,UPI,CUS0536,Returned
2,2022-05-19,Corporate,Male,Food - Condiments,Dressing,13,Balsamic Fig Dressing,3.79,6.62,Express,Trới,,Vietnam,Debit Card,CUS0739,Completed
3,2022-12-08,Corporate,Female,Food - Snacks,Healthy Snacks,21,Granola Bars,4.99,29.68,Standard,Tartu,,Estonia,Debit Card,CUS0034,Returned
4,2024-11-10,Enterprise,Female,Outdoor,Outdoor Accessories,2,Hiking Water Bottle with Filter,29.99,4.38,Standard,Huabu,,China,COD,CUS0213,Completed
5,2023-09-01,Small Business,Genderfluid,Health,Fitness & Nutrition,13,Smart Scale,59.99,5.88,Standard,Puerto Natales,,Chile,COD,CUS0174,Completed
6,2024-03-10,Small Business,Female,Food - Snacks,Dips and Spreads,10,Hummus Trio Pack,5.49,20.96,Express,Paramaribo,,Suriname,Credit Card,CUS0589,Completed
7,2022-07-25,Enterprise,Male,Food - Prepared Foods,Vegetable Sides,27,Maple Glazed Carrots,3.29,14.16,Same Day,Calaba,,Philippines,Debit Card,CUS0478,Completed
8,2024-06-20,Corporate,Female,Food - Canned Goods,Soups & Broths,12,Tomato Basil Soup,3.49,4.56,Standard,Manturovo,,Russia,Wallet,CUS0984,Canceled
9,2025-03-11,Corporate,Female,Food - Seafood,Canned Seafood,8,Canned Sardines,3.29,12.74,Express,Mabai,,China,Credit Card,CUS0518,Completed
10,2023-06-26,Enterprise,Female,Food - Canned Goods,Soups & Broths,29,Tuscan Bean Soup,2.49,13.36,Standard,Bulupayung,,Indonesia,Credit Card,CUS0042,Returned
11,2024-06-01,Corporate,Female,Pets,Pet Waste Management,11,Dog Waste Bag Dispenser,6.99,9.84,Standard,Selat,,Indonesia,EMI,CUS0650   CUS0651,Completed
12,2022-05-03,Enterprise,Male,Kitchen,Small Appliances,7,Electric Egg Cooker,29.99,3.72,Standard,Gradishtë,,Albania,Wallet,CUS0627,Returned
13,2022-11-18,Consumer,Polygender,Accessories,Mobile Accessories,16,Wireless Earbuds Case,12.99,6.45,Standard,Diancun,,China,Debit Card,CUS0132,Completed
14,2025-05-04,Small Business,Agender,Kitchen,Blenders & Juicers,4,Portable Blender,30.0,6.89,Standard,Pukou,,China,COD,CUS0644,Completed
15,2025-08-12,Enterprise,Female,Electronics,Home Entertainment Equipment,25,Streaming Device,49.99,8.42,Same Day,Nine,Braga,Portugal,EMI,CUS0469,Completed
16,2022-05-24,Consumer,Male,Clothing,T-shirts,24,Graphic Tee,19.99,19.43,Standard,Göteborg,Västra Götaland,Sweden,Debit Card,CUS0750   CUS0751,Completed
17,2023-02-03,Consumer,Male,Accessories,Tech Accessories,6,Bluetooth Tracker,19.99,14.22,Standard,Šabac,,Serbia,Debit Card,CUS0243,Completed
18,2023-12-30,Small Business,Male,Kitchen,Kitchen Gadgets,25,Bamboo Cutting Board Set,34.99,1.13,Same Day,San Felipe,,Peru,Wallet,CUS0397,Canceled
19,2025-04-13,Enterprise,Female,Food - Snacks,Healthy Snacks,23,Energy Protein Bars,2.29,25.92,Express,Yokosuka,,Japan,UPI,CUS0111,Completed
20,2023-01-16,Small Business,Male,Home,Eco-Friendly Home Products,5,Biodegradable Trash Bags,12.99,9.82,Standard,Xiluodu,,China,EMI,CUS0055,Completed
21,2022-07-25,Enterprise,Male,Audio,Sleep Aids,4,Bluetooth Sleep Headphones,29.99,4.61,Same Day,Xuhui,,China,COD,CUS0234,Completed
22,2025-07-22,Small Business,Male,Food - Frozen Food,Frozen Meals,22,Vegetable Fried Rice Mix,3.99,6.35,Same Day,Takari,,Indonesia,Debit Card,CUS0467,Canceled
